event_ticker,horizon,median,mode_low,mode_high,lower_tail_prob,upper_tail_prob,implied_mean_TAIL_ASSUMED,n_thresholds,n_monotonicity_violations
KXCPIYOY-25JUN,21d,2.5525,2.5,2.6,0.125,0.015,2.5745,11,1
KXCPIYOY-25JUN,3d,2.566666666666667,2.5,2.6,0.07999999999999996,0.01,2.5745,11,0
KXCPIYOY-25JUN,7d,2.5481481481481483,2.5,2.6,0.08499999999999996,0.01375,2.5645,11,1
KXCPIYOY-25JUN,final,2.556756756756757,2.5,2.6,0.08999999999999997,0.005,2.5625000000000004,11,0
KXCPIYOY-25MAR,14d,2.4741935483870967,2.4,2.5,0.12,0.0125,2.4875000000000003,9,1
KXCPIYOY-25MAR,1d,2.4804878048780488,2.4,2.5,0.040000000000000036,0.005,2.4920000000000004,9,1
KXCPIYOY-25MAR,21d,2.4647058823529413,2.4,2.5,0.09999999999999998,0.02,2.4899999999999998,9,0
KXCPIYOY-25MAR,3d,2.479761904761905,2.4,2.5,0.03500000000000003,0.005,2.4939999999999998,9,1
KXCPIYOY-25MAR,7d,2.4743243243243245,2.4,2.5,0.04500000000000004,0.005,2.483,9,0
KXCPIYOY-25MAR,final,2.4804878048780488,2.4,2.5,0.040000000000000036,0.005,2.4920000000000004,9,1
KXCPIYOY-25MAY,14d,2.414516129032258,2.4,2.5,0.03500000000000003,0.02,2.4234999999999998,11,0
KXCPIYOY-25MAY,1d,2.3655555555555554,2.3,2.4,0.020000000000000018,0.008333333333333333,2.37,11,1
KXCPIYOY-25MAY,21d,2.443661971830986,2.4,2.5,0.03500000000000003,0.02,2.4490000000000003,11,0
KXCPIYOY-25MAY,3d,2.3761194029850747,2.3,2.4,0.030000000000000027,0.006666666666666667,2.3774999999999995,11,1
KXCPIYOY-25MAY,7d,2.3983333333333334,2.4,2.5,0.03500000000000003,0.005,2.3995,11,0
KXCPIYOY-25MAY,final,2.3655555555555554,2.3,2.4,0.020000000000000018,0.008333333333333333,2.37,11,1
KXCPIYOY-25NOV,14d,2.9930555555555554,3.0,3.1,0.0050000000000000044,0.11,2.9835000000000003,8,0
KXCPIYOY-25NOV,1d,2.96625,2.9,3.0,0.0050000000000000044,0.055,2.9615,8,0
KXCPIYOY-25NOV,21d,2.9985714285714287,2.9,3.0,0.0050000000000000044,0.145,2.9924999999999997,8,0
KXCPIYOY-25NOV,3d,2.9681818181818183,2.9,3.0,0.010000000000000009,0.05,2.96,8,1
KXCPIYOY-25NOV,7d,2.958666666666667,2.9,3.0,0.0050000000000000044,0.045,2.9525000000000006,8,0
KXCPIYOY-25NOV,final,2.96625,2.9,3.0,0.0050000000000000044,0.055,2.9615,8,0
KXCPIYOY-25OCT,14d,3.0296296296296297,2.9,3.0,0.010000000000000009,0.31,3.013,8,0
KXCPIYOY-25OCT,1d,3.0100000000000002,2.9,3.0,0.010000000000000009,0.275,3.0060000000000002,8,0
KXCPIYOY-25OCT,21d,3.0100000000000002,3.0,3.1,0.025000000000000022,0.185,2.9935,8,0
KXCPIYOY-25OCT,3d,3.0026315789473683,2.9,3.0,0.010000000000000009,0.315,3.01,8,0
KXCPIYOY-25OCT,7d,3.0046511627906978,2.9,3.0,0.010000000000000009,0.295,3.011,8,0
KXCPIYOY-25OCT,final,3.0100000000000002,2.9,3.0,0.010000000000000009,0.275,3.0060000000000002,8,0
KXCPIYOY-25SEP,14d,3.0157894736842104,3.0,3.1,0.007500000000000062,0.18,3.0025,8,1
KXCPIYOY-25SEP,1d,3.0135135135135136,3.0,3.1,0.010000000000000009,0.18,3.0004999999999997,8,1
KXCPIYOY-25SEP,21d,3.0378048780487807,3.0,3.1,0.0050000000000000044,0.245,3.0205,8,0
KXCPIYOY-25SEP,3d,3.0164383561643837,3.0,3.1,0.010000000000000009,0.195,3.0005,8,1
KXCPIYOY-25SEP,7d,3.014705882352941,3.0,3.1,0.010000000000000009,0.21,3.0015000000000005,8,0
KXCPIYOY-25SEP,final,3.0135135135135136,3.0,3.1,0.010000000000000009,0.18,3.0004999999999997,8,1
KXCPIYOY-26APR,14d,3.6224137931034486,3.6,3.7,0.0050000000000000044,0.005,3.6155,23,0
KXCPIYOY-26APR,1d,3.6512820512820516,3.6,3.7,0.008124999999999938,0.005,3.641,23,2
KXCPIYOY-26APR,21d,3.5873015873015874,3.5,3.6,0.01000000000000012,0.005,3.594,23,1
KXCPIYOY-26APR,3d,3.658571428571429,3.6,3.7,0.0050000000000001155,0.005,3.6479999999999997,23,0
KXCPIYOY-26APR,7d,3.644615384615385,3.6,3.7,0.022272727272727333,0.005,3.6185,23,3
KXCPIYOY-26APR,final,3.6512820512820516,3.6,3.7,0.008124999999999938,0.005,3.641,23,2
KXCPIYOY-26FEB,14d,2.3723684210526317,2.3,2.4,0.03500000000000003,0.01,2.3895,10,2
KXCPIYOY-26FEB,1d,2.3973684210526316,2.3,2.4,0.025000000000000022,0.005,2.4045,10,0
KXCPIYOY-26FEB,21d,2.383116883116883,2.3,2.4,0.05500000000000005,0.0075,2.4005,10,1
KXCPIYOY-26FEB,3d,2.4069767441860463,2.4,2.5,0.015000000000000013,0.005,2.4085,10,0
KXCPIYOY-26FEB,7d,2.408974358974359,2.4,2.5,0.03500000000000003,0.0125,2.419,10,1
KXCPIYOY-26FEB,final,2.3973684210526316,2.3,2.4,0.025000000000000022,0.005,2.4045,10,0
KXCPIYOY-26JAN,14d,2.394642857142857,2.3,2.4,0.020000000000000018,0.005,2.4194999999999998,11,0
KXCPIYOY-26JAN,1d,2.421153846153846,2.3,2.4,0.010000000000000009,0.01,2.4334999999999996,11,1
KXCPIYOY-26JAN,21d,2.388888888888889,2.3,2.4,0.025000000000000022,0.015,2.4055,11,1
KXCPIYOY-26JAN,3d,2.4206896551724135,2.3,2.4,0.0050000000000000044,0.005,2.4505,11,1
KXCPIYOY-26JAN,7d,2.4305555555555554,2.3,2.4,0.015000000000000013,0.01,2.4410000000000003,11,0
KXCPIYOY-26JAN,final,2.421153846153846,2.3,2.4,0.010000000000000009,0.01,2.4334999999999996,11,1
KXCPIYOY-26JUL,14d,3.3347826086956522,3.3,3.4,0.010000000000000009,0.0075,3.3484999999999996,21,2
KXCPIYOY-26JUL,1d,3.3,3.2,3.3,0.010000000000000009,0.004999999999999999,3.3164999999999996,21,0
